ticker,horizon,moneyness_bucket,model,observations,mse_variance,mae_variance,rmse_variance,mae_vol,rmse_vol,mean_qlike,best_model,is_best
SPY,1,atm,optimized_blend,24,0.0016133223521074744,0.025197631550097382,0.04016618418654521,9.026045503369525,11.020434664922647,1.741354001394914,realized_60,False
SPY,1,atm,sparse_blend,24,0.001647560992745767,0.025363350266743984,0.04059015881646396,9.076314500464813,11.16858360164501,1.762366505410486,realized_60,False
SPY,1,atm,har_rv,24,0.0017773154762578149,0.02068409818557022,0.042158219557493354,7.580073558491681,11.28192349569627,5.990746077875266,realized_60,False
SPY,1,upside,realized_20,3,0.0006443158507546057,0.022363863203423137,0.025383377449713144,7.627146981882739,8.028862259509426,0.7787980240417861,realized_20,True
SPY,1,upside,realized_60,3,0.0009773091919692324,0.026362719648887662,0.0312619447886601,9.001641232904916,9.967630676879633,1.1239449128472623,realized_20,False
SPY,1,upside,ewma,3,0.001002081546903905,0.02950574496103504,0.03165567163880598,9.898567866658418,10.354242280095107,1.0807889710204772,realized_20,False
SPY,1,upside,garch_11,3,0.001016236739292941,0.029431583027587024,0.03187846827080845,9.89343346508175,10.46755820498656,1.0978833816426739,realized_20,False
SPY,1,upside,simple_ensemble,3,0.0010177791442332617,0.028142272801919947,0.03190265105337269,9.543684229775552,10.38545869745454,1.1323021097431294,realized_20,False
SPY,1,upside,adaptive_ensemble,3,0.0011911517135240416,0.032629469925891295,0.034513065837796,10.700803208399975,11.602359693072263,1.126365605435734,realized_20,False
SPY,1,upside,gjr_garch,3,0.0012198816429005172,0.03312804738411033,0.03492680407510136,10.817629866269035,11.746478349781185,1.1284510573926554,realized_20,False
SPY,1,upside,har_rv,3,0.0013858876336337344,0.02583242727745769,0.03722751178407891,9.529469093952232,12.017814897941474,5.241988633472717,realized_20,False
SPY,1,upside,optimized_blend,3,0.001618078079577337,0.0370643453308958,0.040225341261166905,11.956896515382562,13.156383132908925,1.4007731182357013,realized_20,False
SPY,1,upside,sparse_blend,3,0.0017206927006540994,0.037223530320808655,0.04148123311395286,11.882247327540137,13.459435563708356,1.3899237712863837,realized_20,False
