model,horizon,observations,mae,rmse,mse_variance,variance_bias,mean_qlike,mz_intercept,mz_slope,mz_r_squared,directional_accuracy_vs_market_iv,directional_observations
gjr_garch,1,1094,9.247512844341948,12.262357178861967,0.008708781975466125,-0.0006432280605674886,1.5493159967382335,-0.0018228954158722732,1.0841897589458531,0.0995743209036849,,0.0
gjr_garch,2,1093,8.727649445996798,11.840261001655664,0.010514838202653325,-0.001883643041785047,1.3358747479499598,-0.009673884582902508,1.394708281964045,0.1301529677937613,,0.0
gjr_garch,3,1092,6.62312033868975,9.290345605216524,0.004868846187467508,-0.0014098131872879091,0.6655872955916883,-0.007266632325065596,1.2964192361279723,0.2146252676910747,,0.0
gjr_garch,5,1090,5.410935720531654,7.97068362316576,0.003411194624264047,-0.001528774878533199,0.41004484998541735,-0.0004284128946877698,1.0669065447376147,0.19944199085313208,,0.0
gjr_garch,10,1085,4.738176792167462,7.140339807809821,0.002154299852501571,-0.0013435957301213013,0.29720158808131836,0.007179641763759691,0.8002694623479868,0.16822065342049652,,0.0
har_rv,1,1094,8.350486210404082,12.49127682183923,0.009619067110146404,-0.012821178596564179,3.3794283319487146,0.0189064697401411,0.6444363065778342,0.03127614142470758,,0.0
har_rv,2,1093,7.983379284763536,12.254299388075651,0.011795264226285483,-0.012898415632834954,2.6883325764969808,0.018101127792595817,0.7151760820122356,0.031061254047389464,,0.0
har_rv,3,1092,6.485599562534014,9.67674049157772,0.00565848547328561,-0.008043958912546278,0.9626310502224843,0.011248028826648814,0.8584569257742282,0.08678361756144592,,0.0
har_rv,5,1090,5.291664396421566,8.189993391798964,0.003634090487443493,-0.005124655049393639,0.5320510260478511,0.007353225066984622,0.913138802215375,0.1532711429101966,,0.0
har_rv,10,1085,4.626643574326398,7.213459450792251,0.0022020066577164736,-0.0032532114125538,0.3645784878105302,0.01049003418388613,0.7350118111715719,0.16379978913384652,,0.0
optimized_blend,1,1094,9.742814777803467,13.138760569598375,0.009572932329451816,0.001819729906388629,1.642794935995006,0.01313150960655813,0.529174868135864,0.04733315966669405,,0.0
optimized_blend,2,1093,9.158301357194594,12.837088064457653,0.01173780910387879,0.00012175841314377399,1.4506439782478981,0.01321974211361614,0.5735712800101619,0.03804216715297526,,0.0
