ticker,date,close,source
QQQ,2023-05-11,326.200000,robinhood_equity_day
QQQ,2023-05-12,325.030000,robinhood_equity_day
QQQ,2023-05-15,326.790000,robinhood_equity_day
QQQ,2023-05-16,327.160000,robinhood_equity_day
QQQ,2023-05-17,331.120000,robinhood_equity_day
QQQ,2023-05-18,337.270000,robinhood_equity_day
QQQ,2023-05-19,336.510000,robinhood_equity_day
QQQ,2023-05-22,337.640000,robinhood_equity_day
QQQ,2023-05-23,333.360000,robinhood_equity_day
QQQ,2023-05-24,331.650000,robinhood_equity_day
QQQ,2023-05-25,339.720000,robinhood_equity_day
QQQ,2023-05-26,348.400000,robinhood_equity_day
QQQ,2023-05-30,349.980000,robinhood_equity_day
QQQ,2023-05-31,347.990000,robinhood_equity_day
QQQ,2023-06-01,352.010000,robinhood_equity_day
QQQ,2023-06-02,354.650000,robinhood_equity_day
QQQ,2023-06-05,354.900000,robinhood_equity_day
QQQ,2023-06-06,354.840000,robinhood_equity_day
QQQ,2023-06-07,348.820000,robinhood_equity_day
QQQ,2023-06-08,353.150000,robinhood_equity_day
QQQ,2023-06-09,354.500000,robinhood_equity_day
QQQ,2023-06-12,360.490000,robinhood_equity_day
QQQ,2023-06-13,363.260000,robinhood_equity_day
QQQ,2023-06-14,365.900000,robinhood_equity_day
QQQ,2023-06-15,370.260000,robinhood_equity_day
QQQ,2023-06-16,367.930000,robinhood_equity_day
QQQ,2023-06-20,366.900000,robinhood_equity_day
QQQ,2023-06-21,361.900000,robinhood_equity_day
QQQ,2023-06-22,366.170000,robinhood_equity_day
QQQ,2023-06-23,362.540000,robinhood_equity_day
QQQ,2023-06-26,357.680000,robinhood_equity_day
QQQ,2023-06-27,363.830000,robinhood_equity_day
QQQ,2023-06-28,364.540000,robinhood_equity_day
QQQ,2023-06-29,363.810000,robinhood_equity_day
QQQ,2023-06-30,369.420000,robinhood_equity_day
QQQ,2023-07-03,370.290000,robinhood_equity_day
QQQ,2023-07-05,370.280000,robinhood_equity_day
QQQ,2023-07-06,367.460000,robinhood_equity_day
QQQ,2023-07-07,366.240000,robinhood_equity_day
QQQ,2023-07-10,366.360000,robinhood_equity_day
QQQ,2023-07-11,368.170000,robinhood_equity_day
QQQ,2023-07-12,372.820000,robinhood_equity_day
QQQ,2023-07-13,379.150000,robinhood_equity_day
QQQ,2023-07-14,379.070000,robinhood_equity_day
QQQ,2023-07-17,382.610000,robinhood_equity_day
QQQ,2023-07-18,385.740000,robinhood_equity_day
QQQ,2023-07-19,385.650000,robinhood_equity_day
QQQ,2023-07-20,376.760000,robinhood_equity_day
QQQ,2023-07-21,375.630000,robinhood_equity_day
QQQ,2023-07-24,376.230000,robinhood_equity_day
QQQ,2023-07-25,378.780000,robinhood_equity_day
QQQ,2023-07-26,377.520000,robinhood_equity_day
QQQ,2023-07-27,376.620000,robinhood_equity_day
QQQ,2023-07-28,383.480000,robinhood_equity_day
QQQ,2023-07-31,383.680000,robinhood_equity_day
QQQ,2023-08-01,382.790000,robinhood_equity_day
